file	alt_text
feature-graphic-1024x500.png	Ember the fox sits by a glowing hearth beside mugs and letter tiles, with a dim doorway behind her.
store-icon-512.png	Ember the fox in a green knit sweater holds a warm ochre W letter tile.
phone/01-move-one-letter.png	The WordShift board with L selected in PLAY, ready to move into PANT and form PLANT.
phone/02-two-new-words.png	After shifting L, the WordShift board reads PAY, PLANT, and HEAR, with PLANT active for the next move.
phone/03-build-a-home.png	A growing woodland house with warm furnished rooms and animal residents in WordShift.
phone/04-unlikely-friends.png	Ember the fox talks about Panko’s mushroom soup, with furnished rooms visible behind her.
phone/05-make-it-yours.png	WordShift’s Tile Shop shows color previews and amber costs for unlockable tile styles.
phone/06-daily-ritual.png	WordShift’s Daily Challenge offers a word puzzle to return to each day.
phone/07-change-the-rules.png	A Double Shift puzzle with DUSKY and MOLES on the board and instructions to move two letters.
phone/08-cozy-mostly.png	Ember offers a choice of cups and drinks in a story conversation, with two player responses shown.
